,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
0,Sourav Ganguly,c Kallis b Khan,10,12,2,0,83.33,1,335982,1,12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
1,Brendon McCullum,not out,158,73,10,13,216.44,1,335982,1,216,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
2,Ricky Ponting,c Kumar b Kallis,20,20,1,1,100,1,335982,1,23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
3,David Hussey,c White b Noffke,12,12,1,0,100,1,335982,1,13,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
4,Mohammad Hafeez,not out,5,3,1,0,166.67,1,335982,1,6,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
5,Rahul Dravid,b Sharma,2,3,0,0,66.67,2,335982,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
6,Wasim Jaffer,c Ponting b Dinda,6,16,0,0,37.5,2,335982,1,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
7,Virat Kohli,b Dinda,1,5,0,0,20,2,335982,1,-5,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
8,Jacques Kallis,c Kartik b Agarkar,8,7,0,1,114.29,2,335982,1,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
9,Cameron White,c †Saha b Agarkar,6,10,0,0,60,2,335982,1,6,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
10,Mark Boucher,c Kartik b Ganguly,7,9,1,0,77.78,2,335982,1,8,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
11,Balachandra Akhil,c Ponting b Agarkar,0,2,0,0,0,2,335982,1,-2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
12,Ashley Noffke,run out (Agarkar/†Saha),9,10,1,0,90,2,335982,1,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
13,Praveen Kumar,not out,18,15,1,2,120,2,335982,1,23,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
14,Zaheer Khan,b Ganguly,3,8,0,0,37.5,2,335982,1,-3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
15,Sunil Joshi,c McCullum b Shukla,3,6,0,0,50,2,335982,1,3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru"
16,Parthiv Patel,c †Sangakkara b Lee,15,10,3,0,150,1,335983,1,18,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
17,Matthew Hayden,b Pathan,25,17,4,1,147.06,1,335983,1,31,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
18,Michael Hussey,not out,116,54,8,9,214.81,1,335983,1,164,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
19,MS Dhoni,lbw b Hopes,2,3,0,0,66.67,1,335983,1,2,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
20,Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,1,335983,1,46,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
21,Jacob Oram,b Pathan,13,10,0,1,130,1,335983,1,15,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
22,S Badrinath,not out,31,14,3,2,221.43,1,335983,1,44,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
23,Karan Goel,c Patel b Gony,24,19,2,1,126.32,2,335983,1,28,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
24,James Hopes,c Joginder Sharma b Amarnath,71,33,10,3,215.15,2,335983,1,93,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
