Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Praveen Kumar,4,0,38,0,9.5,13,3,3,1,0,2,335982,1,0,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Zaheer Khan,4,0,38,1,9.5,8,3,2,0,0,2,335982,1,25,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Ashley Noffke,4,0,40,1,10,7,2,2,1,0,2,335982,1,25,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Jacques Kallis,4,0,48,1,12,9,5,3,1,0,2,335982,1,19,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Sunil Joshi,3,0,26,0,8.67,4,0,2,0,0,2,335982,1,0,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Cameron White,1,0,24,0,24,0,2,2,1,0,2,335982,1,0,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Ashok Dinda,3,0,9,2,3,11,0,0,2,0,1,335982,1,56,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0,1,335982,1,31,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0,1,335982,1,79,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0,1,335982,1,50,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Laxmi Shukla,1.1,0,12,1,10.29,3,0,1,2,0,1,335982,1,25,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
Brett Lee,4,0,35,1,8.75,12,5,1,0,1,2,335983,1,25,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Sreesanth,3,0,35,0,11.67,5,5,1,1,0,2,335983,1,0,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
James Hopes,4,0,53,1,13.25,8,2,6,0,0,2,335983,1,19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Irfan Pathan,4,0,47,2,11.75,6,4,3,0,0,2,335983,1,50,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Karan Goel,2,0,25,0,12.5,2,1,2,0,0,2,335983,1,-6,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Piyush Chawla,1,0,19,0,19,1,1,2,0,0,2,335983,1,0,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Wilkin Mota,2,0,24,1,12,2,2,1,2,0,2,335983,1,19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Jacob Oram,4,0,37,0,9.25,6,6,0,0,0,1,335983,1,0,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Manpreet Gony,4,0,42,1,10.5,7,2,3,2,0,1,335983,1,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Muttiah Muralitharan,4,0,33,1,8.25,7,1,2,1,0,1,335983,1,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Palani  Amarnath,4,0,42,1,10.5,4,5,1,0,0,1,335983,1,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Joginder Sharma,4,0,47,1,11.75,5,4,3,1,0,1,335983,1,25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,bat
Glenn McGrath,4,1,21,1,5.25,16,2,1,1,0,2,335984,1,37,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Brett Geeves,4,0,41,0,10.25,8,7,0,0,0,2,335984,1,0,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Farveez Maharoof,4,0,11,2,2.75,13,0,0,0,0,2,335984,1,56,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Rajat Bhatia,4,0,17,2,4.25,13,1,0,1,0,2,335984,1,56,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Daniel Vettori,4,0,35,1,8.75,8,3,2,0,0,2,335984,1,25,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Munaf Patel,3,0,25,0,8.33,10,4,1,0,0,1,335984,1,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Shane Watson,4,0,31,1,7.75,9,5,0,1,0,1,335984,1,25,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
