Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
Dinesh Karthik (c),KKR,Indian,182,28,3654,97*,27.06,"2,815",129.8,0,18,357,101,109,30,0,0,0,,,,,0,0
Shivam Mavi,KKR,Indian,9,1,13,7,4.33,15,86.66,0,0,1,0,3,0,168,270,5,Jan-14,54,9.64,33.6,0,0
Sandeep Warrier,KKR,Indian,3,0,0,0*,,0,,0,0,0,0,1,0,72,85,2,Feb-31,42.5,7.08,36,0,0
Kuldeep Yadav,KKR,Indian,40,4,44,16,8.8,54,81.48,0,0,4,0,11,0,824,"1,144",39,Apr-20,29.33,8.33,21.12,1,0
Eoin Morgan,KKR,English,52,5,854,66,21.35,705,121.13,0,4,72,34,24,0,0,0,0,,,,,0,0
Pat Cummins,KKR,Australian,16,4,77,24,12.83,55,140,0,0,5,4,2,0,361,499,17,Feb-20,29.35,8.29,21.23,0,0
Sunil Narine,KKR,West Indian,110,13,771,75,17.52,458,168.34,0,3,93,44,17,0,"2,558","2,845",122,May-19,23.31,6.67,20.96,6,1
Nikhil Naik,KKR,Indian,3,0,30,22,10,47,63.82,0,0,2,0,2,0,0,0,0,,,,,0,0
M Siddharth,KKR,Indian,,,,,,,,,,,,,,,,,,,,,,
Andre Russell,KKR,West Indian,64,10,1400,88*,33.33,751,186.41,0,8,96,120,21,0,"1,039","1,538",55,Apr-20,27.96,8.88,18.89,1,0
Lockie Ferguson,KKR,New Zealander,9,1,1,1*,,1,100,0,0,0,0,0,0,180,276,5,02-Jul,55.2,9.2,36,0,0
Prasidh Krishna,KKR,Indian,18,2,1,1*,1,7,14.28,0,0,0,0,3,0,410,637,14,Apr-30,45.5,9.32,29.28,1,0
Shubman Gill,KKR,Indian,27,9,499,76,33.26,377,132.36,0,4,43,15,10,0,0,0,0,,,,,0,0
Nitish Rana,KKR,Indian,46,4,1085,85*,29.32,806,134.61,0,8,84,60,9,0,91,119,7,02-Nov,17,7.84,13,0,0
Siddhesh Lad,KKR,Indian,1,0,15,15,15,13,115.38,0,0,1,1,0,0,0,0,0,,,,,0,0
Kamlesh Nagarkoti,KKR,Indian,,,,,,,,,,,,,,,,,,,,,,
Rinku Singh,KKR,Indian,10,1,66,30,11,65,101.53,0,0,5,2,5,0,0,0,0,,,,,0,0
Varun Chakravarthy,KKR,Indian,1,0,0,0*,,0,,0,0,0,0,0,0,18,35,1,Jan-35,35,11.66,18,0,0
Ali Khan,KKR,American,,,,,,,,,,,,,,,,,,,,,,
Tom Banton,KKR,English,,,,,,,,,,,,,,,,,,,,,,
Chris Green,KKR,South African,,,,,,,,,,,,,,,,,,,,,,
Rahul Tripathi,KKR,Indian,34,4,758,93,26.13,552,137.31,0,4,74,27,12,0,6,12,0,0/0,,12,,0,0
