,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams
0,Sourav Ganguly,c Kallis b Khan,10,12,2,0,83.33,1,335982,1,12,Kolkata Knight Riders
1,Brendon McCullum,not out,158,73,10,13,216.44,1,335982,1,216,Kolkata Knight Riders
2,Ricky Ponting,c Kumar b Kallis,20,20,1,1,100,1,335982,1,23,Kolkata Knight Riders
3,David Hussey,c White b Noffke,12,12,1,0,100,1,335982,1,13,Kolkata Knight Riders
4,Mohammad Hafeez,not out,5,3,1,0,166.67,1,335982,1,6,Kolkata Knight Riders
5,Rahul Dravid,b Sharma,2,3,0,0,66.67,2,335982,1,2,Bangalore Royal Challengers
6,Wasim Jaffer,c Ponting b Dinda,6,16,0,0,37.5,2,335982,1,0,Bangalore Royal Challengers
7,Virat Kohli,b Dinda,1,5,0,0,20,2,335982,1,-5,Bangalore Royal Challengers
8,Jacques Kallis,c Kartik b Agarkar,8,7,0,1,114.29,2,335982,1,10,Bangalore Royal Challengers
9,Cameron White,c †Saha b Agarkar,6,10,0,0,60,2,335982,1,6,Bangalore Royal Challengers
10,Mark Boucher,c Kartik b Ganguly,7,9,1,0,77.78,2,335982,1,8,Bangalore Royal Challengers
11,Balachandra Akhil,c Ponting b Agarkar,0,2,0,0,0,2,335982,1,-2,Bangalore Royal Challengers
12,Ashley Noffke,run out (Agarkar/†Saha),9,10,1,0,90,2,335982,1,10,Bangalore Royal Challengers
13,Praveen Kumar,not out,18,15,1,2,120,2,335982,1,23,Bangalore Royal Challengers
14,Zaheer Khan,b Ganguly,3,8,0,0,37.5,2,335982,1,-3,Bangalore Royal Challengers
15,Sunil Joshi,c McCullum b Shukla,3,6,0,0,50,2,335982,1,3,Bangalore Royal Challengers
16,Parthiv Patel,c †Sangakkara b Lee,15,10,3,0,150,1,335983,1,18,Chennai Super Kings
17,Matthew Hayden,b Pathan,25,17,4,1,147.06,1,335983,1,31,Chennai Super Kings
18,Michael Hussey,not out,116,54,8,9,214.81,1,335983,1,164,Chennai Super Kings
19,MS Dhoni,lbw b Hopes,2,3,0,0,66.67,1,335983,1,2,Chennai Super Kings
20,Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,1,335983,1,46,Chennai Super Kings
21,Jacob Oram,b Pathan,13,10,0,1,130,1,335983,1,15,Chennai Super Kings
22,S Badrinath,not out,31,14,3,2,221.43,1,335983,1,44,Chennai Super Kings
23,Karan Goel,c Patel b Gony,24,19,2,1,126.32,2,335983,1,28,Kings XI Punjab
24,James Hopes,c Joginder Sharma b Amarnath,71,33,10,3,215.15,2,335983,1,93,Kings XI Punjab
25,Kumar Sangakkara,c Joginder Sharma b Muralitharan,54,33,5,2,163.64,2,335983,1,63,Kings XI Punjab
26,Yuvraj Singh,c Amarnath b Joginder Sharma,23,13,1,2,176.92,2,335983,1,34,Kings XI Punjab
27,Simon Katich,not out,21,17,0,1,123.53,2,335983,1,23,Kings XI Punjab
28,Irfan Pathan,not out,3,5,0,0,60,2,335983,1,3,Kings XI Punjab
29,Taruwar Kohli,c Manhas b McGrath,7,12,0,1,58.33,1,335984,1,9,Rajasthan Royals
30,Yusuf Pathan,run out (Manhas/Geeves),10,5,2,0,200,1,335984,1,18,Rajasthan Royals
31,Shane Watson,run out (Dhawan/Bhatia),21,15,4,0,140,1,335984,1,25,Rajasthan Royals
32,Mohammad Kaif,c Geeves b Bhatia,9,19,0,0,47.37,1,335984,1,3,Rajasthan Royals
33,Darren Lehmann,lbw b Maharoof,1,2,0,0,50,1,335984,1,1,Rajasthan Royals
34,Ravindra Jadeja,b Vettori,29,23,2,2,126.09,1,335984,1,35,Rajasthan Royals
35,Mahesh Rawat,b Bhatia,2,4,0,0,50,1,335984,1,2,Rajasthan Royals
36,Dinesh Salunkhe,not out,26,20,4,0,130,1,335984,1,30,Rajasthan Royals
37,Shane Warne,b Maharoof,14,13,2,0,107.69,1,335984,1,16,Rajasthan Royals
38,Siddharth Trivedi,not out,3,7,0,0,42.86,1,335984,1,-3,Rajasthan Royals
39,Gautam Gambhir,not out,58,46,7,1,126.09,2,335984,1,67,Delhi Daredevils
40,Virender Sehwag,b Watson,12,4,3,0,300,2,335984,1,21,Delhi Daredevils
41,Shikhar Dhawan,not out,52,41,8,0,126.83,2,335984,1,60,Delhi Daredevils
42,Luke Ronchi,c Kohli b Khan,8,10,2,0,80,1,335985,1,10,Mumbai Indians
43,Sanath Jayasuriya,run out (Khan),29,16,5,1,181.25,1,335985,1,42,Mumbai Indians
44,Dominic Thornely,retired hurt,0,5,0,0,0,1,335985,1,-2,Mumbai Indians
45,Robin Uthappa,st †Boucher b Akhil,48,38,5,1,126.32,1,335985,1,55,Mumbai Indians
46,Pinal Shah,c Kohli b Akhil,19,23,2,0,82.61,1,335985,1,21,Mumbai Indians
47,Abhishek Nayar,c Khan b Kumar,20,14,1,1,142.86,1,335985,1,23,Mumbai Indians
48,Shaun Pollock,b Khan,28,12,3,2,233.33,1,335985,1,41,Mumbai Indians
49,Harbhajan Singh,not out,2,2,0,0,100,1,335985,1,2,Mumbai Indians
50,Shivnarine Chanderpaul,c Nayar b Kulkarni,16,11,3,0,145.45,2,335985,1,19,Bangalore Royal Challengers
51,Rahul Dravid,c & b Harbhajan Singh,32,33,4,0,96.97,2,335985,1,36,Bangalore Royal Challengers
52,Ross Taylor,c Nayar b Jayasuriya,23,12,1,2,191.67,2,335985,1,34,Bangalore Royal Challengers
53,Jacques Kallis,c Nayar b Harbhajan Singh,25,24,0,1,104.17,2,335985,1,27,Bangalore Royal Challengers
