Name,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points
Sourav Ganguly,c Kallis b Khan,10,12,2,0,83.33,1,335982,1,12
Brendon McCullum,not out,158,73,10,13,216.44,1,335982,1,216
Ricky Ponting,c Kumar b Kallis,20,20,1,1,100,1,335982,1,23
David Hussey,c White b Noffke,12,12,1,0,100,1,335982,1,13
Mohammad Hafeez,not out,5,3,1,0,166.67,1,335982,1,6
Rahul Dravid,b Sharma,2,3,0,0,66.67,2,335982,1,2
Wasim Jaffer,c Ponting b Dinda,6,16,0,0,37.5,2,335982,1,0
Virat Kohli,b Dinda,1,5,0,0,20,2,335982,1,-5
Jacques Kallis,c Kartik b Agarkar,8,7,0,1,114.29,2,335982,1,10
Cameron White,c †Saha b Agarkar,6,10,0,0,60,2,335982,1,6
Mark Boucher,c Kartik b Ganguly,7,9,1,0,77.78,2,335982,1,8
Balachandra Akhil,c Ponting b Agarkar,0,2,0,0,0,2,335982,1,-2
Ashley Noffke,run out (Agarkar/†Saha),9,10,1,0,90,2,335982,1,10
Praveen Kumar,not out,18,15,1,2,120,2,335982,1,23
Zaheer Khan,b Ganguly,3,8,0,0,37.5,2,335982,1,-3
Sunil Joshi,c McCullum b Shukla,3,6,0,0,50,2,335982,1,3
Parthiv Patel,c †Sangakkara b Lee,15,10,3,0,150,1,335983,1,18
Matthew Hayden,b Pathan,25,17,4,1,147.06,1,335983,1,31
Michael Hussey,not out,116,54,8,9,214.81,1,335983,1,164
MS Dhoni,lbw b Hopes,2,3,0,0,66.67,1,335983,1,2
Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,1,335983,1,46
Jacob Oram,b Pathan,13,10,0,1,130,1,335983,1,15
S Badrinath,not out,31,14,3,2,221.43,1,335983,1,44
Karan Goel,c Patel b Gony,24,19,2,1,126.32,2,335983,1,28
James Hopes,c Joginder Sharma b Amarnath,71,33,10,3,215.15,2,335983,1,93
Kumar Sangakkara,c Joginder Sharma b Muralitharan,54,33,5,2,163.64,2,335983,1,63
Yuvraj Singh,c Amarnath b Joginder Sharma,23,13,1,2,176.92,2,335983,1,34
Simon Katich,not out,21,17,0,1,123.53,2,335983,1,23
Irfan Pathan,not out,3,5,0,0,60,2,335983,1,3
Taruwar Kohli,c Manhas b McGrath,7,12,0,1,58.33,1,335984,1,9
Yusuf Pathan,run out (Manhas/Geeves),10,5,2,0,200,1,335984,1,18
Shane Watson,run out (Dhawan/Bhatia),21,15,4,0,140,1,335984,1,25
Mohammad Kaif,c Geeves b Bhatia,9,19,0,0,47.37,1,335984,1,3
Darren Lehmann,lbw b Maharoof,1,2,0,0,50,1,335984,1,1
Ravindra Jadeja,b Vettori,29,23,2,2,126.09,1,335984,1,35
Mahesh Rawat,b Bhatia,2,4,0,0,50,1,335984,1,2
Dinesh Salunkhe,not out,26,20,4,0,130,1,335984,1,30
Shane Warne,b Maharoof,14,13,2,0,107.69,1,335984,1,16
Siddharth Trivedi,not out,3,7,0,0,42.86,1,335984,1,-3
Gautam Gambhir,not out,58,46,7,1,126.09,2,335984,1,67
Virender Sehwag,b Watson,12,4,3,0,300,2,335984,1,21
Shikhar Dhawan,not out,52,41,8,0,126.83,2,335984,1,60
Luke Ronchi,c Kohli b Khan,8,10,2,0,80,1,335985,1,10
