,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams
0,Praveen Kumar,4,0,38,0,9.5,13,3,3,1,0,2,335982,1,0,Bangalore Royal Challengers
1,Zaheer Khan,4,0,38,1,9.5,8,3,2,0,0,2,335982,1,25,Bangalore Royal Challengers
2,Ashley Noffke,4,0,40,1,10,7,2,2,1,0,2,335982,1,25,Bangalore Royal Challengers
3,Jacques Kallis,4,0,48,1,12,9,5,3,1,0,2,335982,1,19,Bangalore Royal Challengers
4,Sunil Joshi,3,0,26,0,8.67,4,0,2,0,0,2,335982,1,0,Bangalore Royal Challengers
5,Cameron White,1,0,24,0,24,0,2,2,1,0,2,335982,1,0,Bangalore Royal Challengers
6,Ashok Dinda,3,0,9,2,3,11,0,0,2,0,1,335982,1,56,Kolkata Knight Riders
7,Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0,1,335982,1,31,Kolkata Knight Riders
8,Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0,1,335982,1,79,Kolkata Knight Riders
9,Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0,1,335982,1,50,Kolkata Knight Riders
10,Laxmi Shukla,1.1,0,12,1,10.29,3,0,1,2,0,1,335982,1,25,Kolkata Knight Riders
11,Brett Lee,4,0,35,1,8.75,12,5,1,0,1,2,335983,1,25,Kings XI Punjab
12,Sreesanth,3,0,35,0,11.67,5,5,1,1,0,2,335983,1,0,Kings XI Punjab
13,James Hopes,4,0,53,1,13.25,8,2,6,0,0,2,335983,1,19,Kings XI Punjab
14,Irfan Pathan,4,0,47,2,11.75,6,4,3,0,0,2,335983,1,50,Kings XI Punjab
15,Karan Goel,2,0,25,0,12.5,2,1,2,0,0,2,335983,1,-6,Kings XI Punjab
16,Piyush Chawla,1,0,19,0,19,1,1,2,0,0,2,335983,1,0,Kings XI Punjab
17,Wilkin Mota,2,0,24,1,12,2,2,1,2,0,2,335983,1,19,Kings XI Punjab
18,Jacob Oram,4,0,37,0,9.25,6,6,0,0,0,1,335983,1,0,Chennai Super Kings
19,Manpreet Gony,4,0,42,1,10.5,7,2,3,2,0,1,335983,1,25,Chennai Super Kings
20,Muttiah Muralitharan,4,0,33,1,8.25,7,1,2,1,0,1,335983,1,25,Chennai Super Kings
21,Palani  Amarnath,4,0,42,1,10.5,4,5,1,0,0,1,335983,1,25,Chennai Super Kings
