Season,Team,Player
14,Chennai Super Kings,MS Dhoni
14,Chennai Super Kings,Moeen Ali
14,Chennai Super Kings,KM Asif
14,Chennai Super Kings,Bhagath Varma
14,Chennai Super Kings,Dwayne Bravo
14,Chennai Super Kings,Deepak Chahar
14,Chennai Super Kings,Sam Curran
14,Chennai Super Kings,Faf du Plessis
14,Chennai Super Kings,Ruturaj Gaikwad
14,Chennai Super Kings,Krishnappa Gowtham
14,Chennai Super Kings,C Hari Nishaanth
14,Chennai Super Kings,Josh Hazlewood
14,Chennai Super Kings,Imran Tahir
14,Chennai Super Kings,Ravindra Jadeja
14,Chennai Super Kings,Narayan Jagadeesan
14,Chennai Super Kings,Lungi Ngidi
14,Chennai Super Kings,Cheteshwar Pujara
14,Chennai Super Kings,Suresh Raina
14,Chennai Super Kings,Ambati Rayudu
14,Chennai Super Kings,Harishankar Reddy
14,Chennai Super Kings,Ravisrinivasan Sai Kishore
14,Chennai Super Kings,Mitchell Santner
14,Chennai Super Kings,Karn Sharma
14,Chennai Super Kings,Shardul Thakur
14,Chennai Super Kings,Robin Uthappa
14,Delhi Capitals,Shreyas Iyer
14,Delhi Capitals,Ravichandran Ashwin
14,Delhi Capitals,Avesh Khan
14,Delhi Capitals,Sam Billings
14,Delhi Capitals,Tom Curran
14,Delhi Capitals,Shikhar Dhawan
14,Delhi Capitals,Praveen Dubey
14,Delhi Capitals,Shimron Hetmyer
14,Delhi Capitals,Lukman Meriwala
14,Delhi Capitals,Amit Mishra
14,Delhi Capitals,Anrich Nortje
14,Delhi Capitals,Rishabh Pant
14,Delhi Capitals,Axar Patel
14,Delhi Capitals,Ripal Patel
14,Delhi Capitals,Kagiso Rabada
14,Delhi Capitals,Ajinkya Rahane
14,Delhi Capitals,Ishant Sharma
14,Delhi Capitals,Prithvi Shaw
14,Delhi Capitals,Manimaran Siddharth
14,Delhi Capitals,Steven Smith
14,Delhi Capitals,Marcus Stoinis
14,Delhi Capitals,Vishnu Vinod
14,Delhi Capitals,Chris Woakes
14,Delhi Capitals,Lalit Yadav
14,Delhi Capitals,Umesh Yadav
14,Kolkata Knight Riders,Eoin Morgan
14,Kolkata Knight Riders,Vaibhav Arora
14,Kolkata Knight Riders,Pat Cummins
14,Kolkata Knight Riders,Ben Cutting
14,Kolkata Knight Riders,Lockie Ferguson
14,Kolkata Knight Riders,Harbhajan Singh
14,Kolkata Knight Riders,Venkatesh Iyer
14,Kolkata Knight Riders,Sheldon Jackson
14,Kolkata Knight Riders,Dinesh Karthik
14,Kolkata Knight Riders,Kuldeep Yadav
14,Kolkata Knight Riders,Kamlesh Nagarkoti
14,Kolkata Knight Riders,Karun Nair
14,Kolkata Knight Riders,Sunil Narine
14,Kolkata Knight Riders,Pawan Negi
14,Kolkata Knight Riders,Prasidh Krishna
14,Kolkata Knight Riders,Nitish Rana
14,Kolkata Knight Riders,Andre Russell
14,Kolkata Knight Riders,Sandeep Warrier
14,Kolkata Knight Riders,Tim Seifert
14,Kolkata Knight Riders,Shakib Al Hasan
14,Kolkata Knight Riders,Shivam Mavi
14,Kolkata Knight Riders,Shubman Gill
14,Kolkata Knight Riders,Rinku Singh
14,Kolkata Knight Riders,Rahul Tripathi
14,Kolkata Knight Riders,Varun Chakravarthy
14,Mumbai Indians,Rohit Sharma
14,Mumbai Indians,Anmolpreet Singh
14,Mumbai Indians,Trent Boult
14,Mumbai Indians,Jasprit Bumrah
14,Mumbai Indians,Rahul Chahar
14,Mumbai Indians,Piyush Chawla
14,Mumbai Indians,Nathan Coulter-Nile
14,Mumbai Indians,Quinton de Kock
14,Mumbai Indians,Ishan Kishan
14,Mumbai Indians,Marco Jansen
14,Mumbai Indians,Dhawal Kulkarni
14,Mumbai Indians,Chris Lynn
14,Mumbai Indians,Adam Milne
14,Mumbai Indians,Mohsin Khan
14,Mumbai Indians,James Neesham
14,Mumbai Indians,Hardik Pandya
14,Mumbai Indians,Krunal Pandya
14,Mumbai Indians,Kieron Pollard
14,Mumbai Indians,Anukul Roy
14,Mumbai Indians,Aditya Tare
14,Mumbai Indians,Arjun Tendulkar
14,Mumbai Indians,Saurabh Tiwary
14,Mumbai Indians,Jayant Yadav
14,Mumbai Indians,Suryakumar Yadav
14,Mumbai Indians,Yudhvir Singh
14,Punjab Kings,KL Rahul
14,Punjab Kings,Mayank Agarwal
14,Punjab Kings,Fabian Allen
14,Punjab Kings,Arshdeep Singh
14,Punjab Kings,Murugan Ashwin
14,Punjab Kings,Chris Gayle
14,Punjab Kings,Harpreet Brar
14,Punjab Kings,Moises Henriques
14,Punjab Kings,Deepak Hooda
14,Punjab Kings,Chris Jordan
14,Punjab Kings,Sarfaraz Khan
14,Punjab Kings,Dawid Malan
14,Punjab Kings,Mandeep Singh
14,Punjab Kings,Riley Meredith
14,Punjab Kings,Mohammed Shami
14,Punjab Kings,Darshan Nalkande
14,Punjab Kings,Nicholas Pooran
14,Punjab Kings,Ishan Porel
14,Punjab Kings,Prabhsimran Singh
14,Punjab Kings,Ravi Bishnoi
14,Punjab Kings,Jhye Richardson
14,Punjab Kings,Saurabh Kumar
14,Punjab Kings,Jalaj Saxena
14,Punjab Kings,Shahrukh Khan
14,Punjab Kings,Utkarsh Singh
14,Rajasthan Royals,Akash Singh
14,Rajasthan Royals,Anuj Rawat
14,Rajasthan Royals,Jofra Archer
14,Rajasthan Royals,Jos Buttler
14,Rajasthan Royals,KC Cariappa
14,Rajasthan Royals,Shivam Dube
14,Rajasthan Royals,Shreyas Gopal
14,Rajasthan Royals,Yashasvi Jaiswal
14,Rajasthan Royals,Kartik Tyagi
14,Rajasthan Royals,Liam Livingstone
14,Rajasthan Royals,Mahipal Lomror
14,Rajasthan Royals,Mayank Markande
14,Rajasthan Royals,David Miller
14,Rajasthan Royals,Chris Morris
14,Rajasthan Royals,Mustafizur Rahman
14,Rajasthan Royals,Riyan Parag
14,Rajasthan Royals,Chetan Sakariya
14,Rajasthan Royals,Sanju Samson
