Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
Shreyas Iyer (c),DC,Indian,62,7,1681,96,30.56,"1,324",126.96,0,13,149,67,22,0,0,0,0,0/0,-,-,-,0,0
Kagiso Rabada,DC,South African,18,1,69,44,11.5,79,87.34,0,0,5,2,6,0,410,556,31,Apr-21,17.93,8.13,13.22,2,0
Marcus Stoinis,DC,Australian,29,10,473,52,31.53,364,129.94,0,1,34,18,7,0,367,569,15,Apr-15,37.93,9.3,24.46,1,0
Sandeep Lamichhane,DC,Nepalese,9,0,0,0*,0,1,0,0,0,0,0,2,0,210,292,13,Mar-36,22.46,8.34,16.15,0,0
Ishant Sharma,DC,Indian,89,19,55,10*,9.16,61,90.16,0,0,4,2,17,0,"1,913","2,580",72,05-Dec,35.83,8.09,26.56,0,1
Ajinkya Rahane,DC,Indian,140,16,3820,105*,32.93,"3,133",121.92,2,27,404,74,55,0,6,5,1,01-May,5,5,6,0,0
Ravichandran Ashwin,DC,Indian,139,17,375,45,10.71,339,110.61,0,0,32,10,32,0,"2,924","3,310",125,Apr-34,26.48,6.79,23.39,1,0
Shikhar Dhawan,DC,Indian,159,21,4579,97*,33.42,"3,669",124.8,0,37,524,96,69,0,48,66,4,01-Jul,16.5,8.25,12,0,0
Shimron Hetmyer,DC,West Indian,5,0,90,75,18,73,123.28,0,1,4,7,3,0,0,0,0,0/0,,,,0,0
Daniel Sams,DC,Australian,,,,,,,,,,,,,,,,,,,,,,
Alex Carey,DC,Australian,,,,,,,,,,,,,,,,,,,,,,
Mohit Sharma,DC,Indian,85,12,122,21*,8.13,117,104.27,0,0,8,4,18,0,"1,730","2,425",91,Apr-14,26.64,8.41,19.01,1,0
Prithvi Shaw,DC,Indian,25,0,598,99,23.92,424,141.03,0,4,72,19,6,0,0,0,0,0/0,,,,0,0
Lalith Yadav,DC,Indian,,,,,,,,,,,,,,,,,,,,,,
Avesh Khan,DC,Indian,8,1,4,4*,,3,133.33,0,0,1,0,4,0,156,257,5,Feb-29,51.4,9.88,31.2,0,0
Axar Patel,DC,Indian,82,21,796,44,18.95,630,126.34,0,0,47,35,34,0,"1,713","2,129",71,Apr-21,29.98,7.45,24.12,1,0
Tushar Deshpande,DC,Indian,,,,,,,,,,,,,,,,,,,,,,
Anrich Nortje,DC,South African,,,,,,,,,,,,,,,,,,,,,,
Rishabh Pant,DC,Indian,54,6,1736,128*,36.16,"1,067",162.69,1,11,152,94,33,11,0,0,0,0/0,,,,0,0
Harshal Patel,DC,Indian,43,7,107,36*,9.72,69,155.07,0,0,3,9,11,0,836,"1,215",43,Mar-28,28.25,8.72,19.44,0,0
Keemo Paul,DC,West Indian,8,1,18,7,3.6,24,75,0,0,1,1,5,0,163,237,9,Mar-17,26.33,8.72,18.11,0,0
Amit Mishra,DC,Indian,147,25,362,31,11.67,389,93.05,0,0,29,5,22,0,"3,101","3,799",157,May-17,24.19,7.35,19.75,3,1
