Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
KL Rahul (c),KXIP,Indian,67,11,1977,100*,42.06,"1,431",138.15,1,16,176,81,29,5,0,0,0,0/0,,,,0,0
Arshdeep Singh,KXIP,Indian,3,0,0,0*,,0,,0,0,0,0,0,0,60,109,3,Feb-43,36.33,10.9,20,0,0
Chris Gayle,KXIP,West Indian,125,15,4484,175*,41.13,"2,969",151.02,6,28,369,326,25,0,549,724,18,Mar-21,40.22,7.91,30.5,0,0
Darshan Nalkande,KXIP,Indian,,,,,,,,,,,,,,,,,,,,,,
Krishnappa Gowtham,KXIP,Indian,22,5,144,33*,12,83,173.49,0,0,10,10,10,0,360,478,12,02-Dec,39.83,7.96,30,0,0
Hardus Viljoen,KXIP,South African,6,1,3,2*,1.5,7,42.85,0,0,0,0,1,0,138,222,7,Feb-39,31.71,9.65,19.71,0,0
Harpreet Brar,KXIP,Indian,2,1,20,20*,,12,166.66,0,0,2,1,0,0,30,48,0,0/0,,9.6,,0,0
Jagadeesha Suchith,KXIP,Indian,15,5,54,34*,27,47,114.89,0,0,4,2,8,0,270,396,12,Feb-14,33,8.8,22.5,0,0
Karun Nair,KXIP,Indian,69,4,1464,83*,24.81,"1,139",128.53,0,10,158,39,21,0,0,0,0,0/0,,,,0,0
Mandeep Singh,KXIP,Indian,97,15,1529,77*,22.15,"1,226",124.71,0,5,160,33,35,0,30,49,1,Jan-23,49,9.8,30,0,0
Mayank Agarwal,KXIP,Indian,77,3,1266,68,18.34,988,128.13,0,5,117,52,29,0,0,0,0,0/0,,,,0,0
Mohammad Shami,KXIP,Indian,51,7,54,21,6,53,101.88,0,0,5,2,12,0,"1,032","1,547",40,Mar-21,38.67,8.99,25.8,0,0
Mujeeb Ur Rahman,KXIP,Afghan,16,3,10,10*,5,11,90.9,0,0,2,0,2,0,362,480,17,Mar-27,28.23,7.95,21.29,0,0
Murugan Ashwin,KXIP,Indian,22,2,4,1*,1.33,8,50,0,0,0,0,3,0,417,549,15,Mar-36,36.6,7.89,27.8,0,0
Nicholas Pooran,KXIP,West Indian,7,0,168,48,28,107,157,0,0,10,14,1,0,0,0,0,0/0,,,,0,0
Sarfaraz Khan,KXIP,Indian,33,8,408,67,27.2,286,142.65,0,1,45,11,2,0,2,6,0,0/0,,18,,0,0
Glenn Maxwell,KXIP,Australian,69,7,1397,95,22.9,867,161.13,0,6,109,91,26,0,420,611,16,Feb-15,38.18,8.72,26.25,0,0
Sheldon Cottrell,KXIP,West Indian,,,,,,,,,,,,,,,,,,,,,,
Deepak Hooda,KXIP,Indian,61,9,524,54,14.55,412,127.18,0,1,27,24,22,0,223,313,7,Feb-16,44.71,8.42,31.85,0,0
Ishan Porel,KXIP,Indian,,,,,,,,,,,,,,,,,,,,,,
Ravi Bishnoi,KXIP,Indian,,,,,,,,,,,,,,,,,,,,,,
Jimmy Neesham,KXIP,New Zealander,4,0,42,22,14,46,91.3,0,0,3,1,0,0,54,91,1,Jan-29,91,10.11,54,0,0
Chris Jordan,KXIP,English,11,0,3,3,1.5,5,60,0,0,0,0,4,0,198,298,12,04-Nov,24.83,9.03,16.5,1,0
Tajinder Singh,KXIP,Indian,,,,,,,,,,,,,,,,,,,,,,
Simran Singh,KXIP,Indian,1,0,16,16,16,17,94.11,0,0,1,1,1,0,0,0,0,0/0,,,,0,0
