Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
Virat Kohli (c),RCB,Indian,177,26,5412,113,37.84,"4,112",131.61,5,36,480,190,74,0,251,368,4,Feb-25,92,8.79,62.75,0,0
Mohammed Siraj,RCB,Indian,26,5,29,14,9.66,36,80.55,0,0,2,1,8,0,553,848,28,Apr-32,30.28,9.2,19.75,1,0
Chris Morris,RCB,South African,61,20,517,82*,27.21,328,157.62,0,2,37,27,27,0,"1,284","1,709",69,Apr-23,24.76,7.98,18.6,2,0
Josh Philippe,RCB,Australian,,,,,,,,,,,,,,,,,,,,,,
Moeen Ali,RCB,English,16,2,297,66,24.75,179,165.92,0,3,20,23,3,0,229,266,9,Feb-18,29.55,6.96,25.44,0,0
Aaron Finch,RCB,Australian,75,7,1737,88*,26.31,"1,329",130.69,0,13,176,67,24,0,43,67,1,01-Nov,67,9.34,43,0,0
AB de Villiers,RCB,South African,154,32,4395,133*,39.95,"2,906",151.23,3,33,357,212,93,7,0,0,0,,,,,0,0
Shahbaz Ahamad,RCB,Indian,,,,,,,,,,,,,,,,,,,,,,
Parthiv Patel,RCB,Indian,139,11,2848,81,22.6,"2,358",120.78,0,13,365,49,69,16,0,0,0,,,,,0,0
Yuzvendra Chahal,RCB,Indian,84,9,21,4*,4.2,48,43.75,0,0,0,0,19,0,"1,787","2,318",100,Apr-25,23.18,7.78,17.87,2,0
Navdeep Saini,RCB,Indian,13,1,2,2,2,4,50,0,0,0,0,3,0,288,397,11,Feb-24,36.09,8.27,26.18,0,0
Isuru Udana,RCB,Sri Lankan,,,,,,,,,,,,,,,,,,,,,,
Dale Steyn,RCB,South African,92,14,166,19*,7.54,158,105.06,0,0,14,3,24,0,"2,106","2,375",96,03-Aug,24.73,6.76,21.93,0,0
Pawan Negi,RCB,Indian,50,9,365,36,14.03,289,126.29,0,0,27,16,15,0,716,939,34,Apr-18,27.61,7.86,21.05,1,0
Devdutt Padikkal,RCB,Indian,,,,,,,,,,,,,,,,,,,,,,
Shivam Dube,RCB,Indian,4,1,40,24,13.33,33,121.21,0,0,1,3,1,0,10,8,0,,,4.8,,0,0
Umesh Yadav,RCB,Indian,119,24,122,24*,9.38,126,96.82,0,0,11,4,30,0,"2,480","3,496",119,Apr-24,29.37,8.45,20.84,2,0
Gurkeerat Mann Singh,RCB,Indian,33,3,440,65,18.33,342,128.65,0,2,47,11,13,1,78,97,5,Feb-15,19.4,7.46,15.6,0,0
Washington Sundar,RCB,Indian,21,7,75,35,12.5,53,141.5,0,0,5,4,7,0,354,451,16,Mar-16,28.18,7.64,22.12,0,0
Pavan Deshpande,RCB,Indian,,,,,,,,,,,,,,,,,,,,,,
Adam Zampa,RCB,Australian,11,0,5,5,2.5,8,62.5,0,0,1,0,0,0,221,278,19,Jun-19,14.63,7.54,11.63,0,1
