Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
Steve Smith (c),RR,Australian,81,18,2022,101,37.44,"1,568",128.95,1,8,180,49,42,0,2,5,0,0/0,,15,,0,0
Ankit Rajpoot,RR,Indian,23,1,17,8,4.25,31,54.83,0,0,2,0,4,0,427,615,22,May-14,27.95,8.64,19.4,0,1
Ben Stokes,RR,English,34,5,635,103*,22.67,481,132.01,1,1,43,25,14,0,587,808,26,Mar-15,31.07,8.25,22.57,0,0
Jofra Archer,RR,English,21,6,82,27*,11.71,61,134.42,0,0,6,4,4,0,491,616,26,Mar-15,23.69,7.52,18.88,0,0
Jos Buttler,RR,English,45,6,1386,95*,35.53,919,150.81,0,9,140,61,25,1,0,0,0,0/0,,,,0,0
Mahipal Lomror,RR,Indian,4,1,28,11,14,24,116.66,0,0,3,0,1,0,18,27,0,0/0,,9,,0,0
Manan Vohra,RR,Indian,49,2,1012,95,23.53,768,131.77,0,3,97,39,13,0,0,0,0,0/0,,,,0,0
Mayank Markande,RR,Indian,17,5,27,7*,9,29,93.1,0,0,3,0,3,0,300,427,16,Apr-23,26.68,8.54,18.75,1,0
Rahul Tewatia,RR,Indian,20,6,111,24,18.5,89,124.71,0,0,11,3,8,0,296,354,14,Mar-18,25.28,7.17,21.14,0,0
Riyan Parag,RR,Indian,7,0,160,50,32,126,126.98,0,1,17,5,5,0,84,121,2,01-Oct,60.5,8.64,42,0,0
Sanju Samson,RR,Indian,93,9,2209,102*,27.61,"1,696",130.24,2,10,170,89,43,4,0,0,0,0/0,,,,0,0
Shashank Singh,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Shreyas Gopal,RR,Indian,31,5,127,24,14.11,118,107.62,0,0,14,1,9,0,589,737,38,Apr-16,19.39,7.5,15.5,1,0
Varun Aaron,RR,Indian,47,7,49,17*,12.25,62,79.03,0,0,2,2,3,0,916,"1,335",42,Mar-16,31.78,8.74,21.8,0,0
Robin Uthappa,RR,Indian,177,17,4411,87,28.83,"3,380",130.5,0,24,435,156,84,32,0,0,0,0/0,,,,0,0
Jaydev Unadkat,RR,Indian,73,11,55,26,9.16,54,101.85,0,0,6,1,23,0,"1,506","2,192",77,May-25,28.46,8.73,19.55,0,2
Yashasvi Jaiswal,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Anuj Rawat,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Akash Singh,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Kartik Tyagi,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
David Miller,RR,South African,79,23,1850,101*,34.25,"1,333",138.78,1,9,126,87,49,0,0,0,0,0/0,,,,0,0
Oshane Thomas,RR,West Indian,4,0,0,0*,-,0,-,0,0,0,0,1,0,60,79,5,02-Jun,15.8,7.9,12,0,0
Anirudha Joshi,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Andrew Tye,RR,Australian,26,4,85,25,10.62,70,121.42,0,0,6,4,7,0,594,822,39,May-17,21.07,8.3,15.23,3,1
Tom Curran,RR,English,5,1,23,18,7.66,28,82.14,0,0,3,0,1,0,61,118,6,Feb-19,19.66,11.6,10.16,0,0
