,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
0,Praveen Kumar,4,0,38,0,9.5,13,3,3,1,0,2,335982,1,0
1,Zaheer Khan,4,0,38,1,9.5,8,3,2,0,0,2,335982,1,25
2,Ashley Noffke,4,0,40,1,10,7,2,2,1,0,2,335982,1,25
3,Jacques Kallis,4,0,48,1,12,9,5,3,1,0,2,335982,1,19
4,Sunil Joshi,3,0,26,0,8.67,4,0,2,0,0,2,335982,1,0
5,Cameron White,1,0,24,0,24,0,2,2,1,0,2,335982,1,0
6,Ashok Dinda,3,0,9,2,3,11,0,0,2,0,1,335982,1,56
7,Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0,1,335982,1,31
8,Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0,1,335982,1,79
9,Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0,1,335982,1,50
10,Laxmi Shukla,1.1,0,12,1,10.29,3,0,1,2,0,1,335982,1,25
0,Brett Lee,4,0,35,1,8.75,12,5,1,0,1,2,335983,1,25
1,Sreesanth,3,0,35,0,11.67,5,5,1,1,0,2,335983,1,0
2,James Hopes,4,0,53,1,13.25,8,2,6,0,0,2,335983,1,19
3,Irfan Pathan,4,0,47,2,11.75,6,4,3,0,0,2,335983,1,50
4,Karan Goel,2,0,25,0,12.5,2,1,2,0,0,2,335983,1,-6
5,Piyush Chawla,1,0,19,0,19,1,1,2,0,0,2,335983,1,0
6,Wilkin Mota,2,0,24,1,12,2,2,1,2,0,2,335983,1,19
7,Jacob Oram,4,0,37,0,9.25,6,6,0,0,0,1,335983,1,0
8,Manpreet Gony,4,0,42,1,10.5,7,2,3,2,0,1,335983,1,25
9,Muttiah Muralitharan,4,0,33,1,8.25,7,1,2,1,0,1,335983,1,25
10,Palani  Amarnath,4,0,42,1,10.5,4,5,1,0,0,1,335983,1,25
11,Joginder Sharma,4,0,47,1,11.75,5,4,3,1,0,1,335983,1,25
0,Glenn McGrath,4,1,21,1,5.25,16,2,1,1,0,2,335984,1,37
1,Brett Geeves,4,0,41,0,10.25,8,7,0,0,0,2,335984,1,0
2,Farveez Maharoof,4,0,11,2,2.75,13,0,0,0,0,2,335984,1,56
3,Rajat Bhatia,4,0,17,2,4.25,13,1,0,1,0,2,335984,1,56
4,Daniel Vettori,4,0,35,1,8.75,8,3,2,0,0,2,335984,1,25
5,Munaf Patel,3,0,25,0,8.33,10,4,1,0,0,1,335984,1,0
6,Shane Watson,4,0,31,1,7.75,9,5,0,1,0,1,335984,1,25
7,Siddharth Trivedi,3,0,32,0,10.67,6,5,0,3,0,1,335984,1,0
8,Shane Warne,2,0,16,0,8,2,2,0,0,0,1,335984,1,0
9,Yusuf Pathan,2.1,0,17,0,7.85,4,2,0,1,0,1,335984,1,0
10,Dinesh Salunkhe,1,0,11,0,11,0,0,0,1,0,1,335984,1,0
0,Praveen Kumar,4,0,29,1,7.25,11,3,1,1,0,2,335985,1,25
1,Zaheer Khan,4,0,17,2,4.25,14,2,0,0,0,2,335985,1,56
2,Jacques Kallis,3,0,43,0,14.33,3,7,1,2,0,2,335985,1,-6
3,Vinay Kumar,4,0,41,0,10.25,9,3,3,0,0,2,335985,1,0
4,Balachandra Akhil,3,0,17,2,5.67,8,2,0,0,0,2,335985,1,50
5,Sunil Joshi,2,0,10,0,5,5,1,0,0,0,2,335985,1,0
6,Ashish Nehra,4,0,45,1,11.25,7,5,2,2,0,1,335985,1,25
7,Shaun Pollock,4,0,17,0,4.25,10,1,0,0,0,1,335985,1,6
8,Dhawal Kulkarni,2.4,0,19,1,7.13,8,3,0,2,0,1,335985,1,25
9,Sanath Jayasuriya,4,0,39,1,9.75,3,2,2,0,0,1,335985,1,25
